"评论编号","评论用户","评论微博","评论内容","sentiment"
"27","科右前旗检察","1","转发微博","1"
"28","半自動人形","1","[doge]不小心的","1"
"29","广东检察","2","[doge]不小心的","1"
"30","龙泉驿检察","2","【滑雪运动中发生人身损害，法院如何认定赔偿责任？[围观][围观][围观]】","1"
"31","西湖区北山司法所","2","转发微博","1"
"32","广铁检察","2","转发微博","1"
"33","法治未央","2","转发微博","1"
"34","长岛县检察院","2","转发微博","1"
"35","周水子普法","2","转发微博","1"
"36","温江司法","3","新的一天，上午好～[太阳]","2"
"37","Moxi墨兮丶","3","哈哈哈哈哈哈哈","2"
"38","-上邪-","3","[笑cry][笑cry]","2"
"39","梦幻飞机的主宰者","3","哈哈……，真棒[good][good][good]","2"
"40","邪性刚哥","3","哈哈哈哈","2"
"41","玖零后工作狂","3","放一个煤气烤炉会不会好点啊","2"
"42","殷蓓蓓_","3","官方新闻也越来越皮啦[开心]","2"
"43","伍医生57651","4","辛苦了！我转发给微信群主们","2"
"44","中国之骚","4","我是在汕头被网络诈骗的，现在都两年了，汕头110都屏蔽了我的电话。不靠自己靠谁？","0"
"45","漳州开发区文化旅游发展局","4","干货","2"
"46","温江司法","4","晚安，好梦[月亮]","2"
"47","贰零壹玖贰拾柒","5","请珍惜身边的一切，别等到来不及了才想到要珍惜。","2"
"48","榴莲外衣柚子心","5","现在我们挣脱的，是以后我们求之不得的[心]","0"
"49","傲娇的鸡翅","5","可是不去挣钱，哪有时间敢去陪伴[允悲]","0"
"50","小魔王滴滴兜","6","可是不去挣钱，哪有时间敢去陪伴[允悲]","0"
"51","愿天下孤儿都有爸妈","6","关键这些个老鼠屎，总是害人家店的名誉受损。","0"
"52","00古道西风00","6","换个拖布","0"
"53","来这世上一遭","6","一点良心都没有[怒骂]","0"
"54","法律人温清清","6","哇，黑心阿姨","0"
"55","广东检察","7","哇，黑心阿姨","0"
"56","21世纪成熟丹玛斯","7","""正财财少，偏财财多，所谓的""正财″是辛苦的工作，辛勤劳动得到的回报。""偏财″财多财大，也就是说贪污腐败，行贿受贿，打牌赌博等各种乱象业得到的财叫""偏财″，当今中国有一半富起来的人是得到的""偏财″也就是""治与乱″，""正与邪″，世道乱;那么想得偏财的人越多，世遒邪;走歪风邪气的人也就越多。","0"
"57","gaon2","7","警察不抓谁不骗。","0"
"58","打着呼噜唱着歌","7","最新的诈骗方法是，打过来电话“我是某某某，听不清，你说什么，不行你加我微信吧，我的微信号是***”","0"
"59","面朝大海20120419","7","傻子太多，骗子不够用了！[挖鼻][挖鼻]","0"
"60","栀子花妹妹","7","傻子太多，骗子不够用了！[挖鼻][挖鼻]","0"
"61","我爱我的爸爸妈妈不爱我自己","7","还有让谁谁谁还钱，上来就骂街，气死人","0"
"62","心憩小屋","7","这种低级的骗术怎么还有人上当，是骗子狡猾还是普通大众太善良太愚蠢","0"
"63","鲁华东W","8","7个语言类节目肯定是太少了，希望这是过审的一部分而已。 冯巩是老艺术家，表演的节目功底深厚非常受欢迎，部分人不喜欢也在所难免，假如砍掉了冯巩的节目会让大部分人感到遗憾，现实板的所谓“小鲜肉”只不过是匆忙的过客，而非艺术沉淀积累的外在展现。","0"
"64","mmmmmmn201606","8","冯巩多少年没和家人吃年夜饭了","2"
"65","扶风37775","8","那就8个","2"
"66","不重要的甲乙丙丁戊","8","7个也太少了吧","0"
"67","条纹被套里的爱","8","7个也太少了吧","0"
"68","失吉忽秃忽·","8","7个也太少了吧","0"
"69","条纹被套里的爱","8","估计肯定少不了，听说好像是文艺主席？","0"
"70","绿叶薛桂香","8","[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][赞][赞][赞][赞][赞][赞][作揖][作揖]","2"
"71","你东叔","8","贫","0"
"72","夜未央tal","8","才7个…","0"
"73","川大物流","18","才7个…","0"
"74","蜀山检察","18","才7个…","0"
"75","理脉LegalMiner","18","什么时候能天下无贼[失望]","0"
"76","景渊湿胸","18","怎么不动。。。","0"
"77","我就要小鱼干","18","为什么我能看成一秒偷走你的吻。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。","1"
"78","正义蕉岭","18","为什么我能看成一秒偷走你的吻。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。","1"
"79","我家在皖秀山乡双龙村","18","转发微博","1"
"80","静品人生枫林晚","21","大师走好[蜡烛][蜡烛][蜡烛][祈祷][祈祷][祈祷]","0"
"81","庆幸是个局外人","21","一路走好！！！！！","0"
"82","huayangchunxue2015","21","[蜡烛][蜡烛][蜡烛]","0"
"83","康二丫stone","21","[悲伤][悲伤]大师一路走好","0"
"84","司法行政张畅","21","大师一路走好","0"
"85","陇南成县抛沙司法所","21","[蜡烛][蜡烛][蜡烛]","0"
"86","时崎狂三的刻刻帝","21","不会吧？大师一路走好[蜡烛][蜡烛]","0"
"87","好人好信","25","啥也不说了 点赞就得了  好人有好报 一生平安","2"
"88","科右前旗检察","25","传播正能量！","2"
"89","释明喜","25","阿弥陀佛","2"
"90","似宁","25","好样的[good]","2"
"91","狼外婆的道歉信","25","认个干女儿吧，毕竟娃身体里以后流淌的还有你的血液，好酷","2"
"92","高速兜兜风","25","大爱","2"
"93","安逸潍坊","25","传播正能量，为好人点赞祝福[赞]。","2"
"94","黄石踏雪","25","大爱无疆，为你点赞[中国赞]","2"
"95","cc小友么么哒","25","伟大","2"
"96","广饶大众网","26","伟大","2"
"97","不解语2019","29","我读的第一本名著，在什么都懵懂的13岁。","2"
"98","麦克废墨","29","司汤达与巴尔扎克","2"
"99","珊珊妮儿","29","[鼓掌][鼓掌][鼓掌][鼓掌]","2"
"100","楼盘网张家口站","29","活过、爱过、写过。","2"
"101","虞山书生","29","经典之作，人生哲理。","2"
"102","懂得微笑9106","31","坚持","2"
"103","温江司法","31","早安，元气满满的周三~[太阳]","2"
"104","薄凉-凉薄-","31","公平？替二哈洗的开心吗","0"
"105","贝萱5533","31","学会坚强？不用学的。","0"
"106","Walsh1219","31","世界从来都不公平","0"
"107","平南检察","31","早上好[太阳]","2"
"108","80后一粟","33","真实","0"
"109","我得改个能带来好运的微博名","33","泪目","0"
"110","解克斯脱","33","努力！奋斗！","2"
"111","凶残狂暴的小白兔","34","达瓦里氏！Vodka！吨吨吨~！","2"
"112","低调些_","35","孩子丢了都不知道","0"
"113","上善若水ZZz_","35","没有手机就跟世界脱轨了一样，学生读高中才能用手机，有时候出去不在学校没手机联系不到干着急[惊恐]","0"
"114","传正义鸣不平","35","没有手机就跟世界脱轨了一样，学生读高中才能用手机，有时候出去不在学校没手机联系不到干着急[惊恐]","0"
"115","园艺师sky","35","这个外国语学校比较靠谱[good]","2"
"116","1DGD1大哥大","35","当今社会男女老小是不是离开手机就无法生活了？","0"
"117","情感萌汉药","37","人没事就好，我们只关心船怎么回来？","2"
"118","牧云1120","37","祝平安！","2"
"119","华夏--川潇月","37","希望一切都好","2"
"120","范闲-123","38","不是还有锁这种东西吗[doge]","0"
"121","辽宁盈盛商品交易中心邮币卡维权","38","自2016年12月开始，辽宁盈盛商品交易中心有限公司采取非法手段，在短时间内从平台大量套现。经核查受害群众涉及广东、浙江、福建、新疆、山东、吉林、河南、上海等多个省市，共计8989人，涉案金额41.8亿元，受损资金1.99亿元。沈阳市公安局浑南分局已经侦办两年毫无进展，受害人苦苦等待。。。。。。","0"
"122","佛系阿堃爱建业","38","花同样的钱买一套乐高，都比这些电子游戏有意义，锻炼动手能力和耐心，还有整体思维，3D构图的能力","0"
"123","失去记忆的恶魔","38","然而并没有什么卵用。[笑而不语]上有政策，下有对策。[嘻嘻]去手机店小米之家之类的免费玩。[笑而不语]","0"
"124","糖时橘","38","若是生活有趣，谁还沉迷游戏？？家长要是每天腾半个小时看电视的时间出来陪娃蹦跶两下，或者一起打打高质量的多人游戏，比这些歪门邪道的招好多了[眼泪]","0"
"125","失吉忽秃忽·","38","孩子，怪我咯。你们买这些，难道不是给我玩的吗[嘻嘻]","0"
"126","神州八号99","38","防孩子寒假沉迷游戏 家长没收手机平板走哪背哪[笑cry]","0"
"127","介石爱润之","38","防孩子寒假沉迷游戏 家长没收手机平板走哪背哪[笑cry]","0"
"128","昏君o_o你纳命来","38","既然不让玩 当初买它干嘛...","0"
"129","北方以北的羊","38","为了怕孩子玩电子产品，全部背着，结果还给丢了[二哈][允悲]","0"
"130","乌江亭长饰江枫先森","40","大国栋梁，爱国之心赤诚。","2"
"131","南方机器研究院","40","我看哭了，于敏是我年轻时的偶像。","2"
"132","看这头像说谁","40","我看哭了，于敏是我年轻时的偶像。","2"
"133","得人轻着力","40","真正的民族英雄！真正的时代巨星！","2"
"134","yanhua0917","40","民族脊梁","2"
"135","一望无际cd","40","敬佩不已，中华民族就是好多像于老这样的人，支撑起来的。","2"
"136","辽宁盈盛商品交易中心邮币卡维权","41","自2016年12月开始，辽宁盈盛商品交易中心有限公司采取非法手段，在短时间内从平台大量套现。经核查受害群众涉及广东、浙江、福建、新疆、山东、吉林、河南、上海等多个省市，共计8989人，涉案金额41.8亿元，受损资金1.99亿元。沈阳市公安局浑南分局已经侦办两年毫无进展，受害人苦苦等待。。。。。。","0"
"137","陇原何处有正义","41","我们是这有位庭长告诉我有些法守不得，不能为难企业！法制日报敢不敢报道？","0"
"138","得人轻着力","41","前两天回老家，大喇叭循环播放禁止燃放烟花爆竹……农村人柴禾也不允许烧了，烟花爆竹也不许放了。几千年了，说禁止就禁止。不能说这些和环保一点关系没有，这是真正的原因吗？不能为了乌纱帽坑害老百姓啊！百姓的日子刚刚好过啊！","0"
"139","非印度阿三","43","曲玉权叫你除夕夜陪他值班[蜡烛][蜡烛][蜡烛][蜡烛]","0"
"140","元旦飘飘茉莉","43","[浪]","2"
"141","高淳普法","43","转发微博","1"
"142","悠哉乐之","45","我去顺义比大兴近","1"
"143","芦湾居士","45","转发微博","1"
"144","青海瀚祥储配中心","46","国家政策是好的，但试问那个小区的民办幼儿园不是盈利性质的，还怕挣得钱，学费随意往上涨！！","0"
"145","泛舟而渔","46","一切问题都能通过提高房价解决。可以尝试提高十倍。","0"
"146","来世变小鸟H","46","完了，边上几个办的好的幼儿园要完蛋完蛋了。","0"
"147","我如蓝天盘旋的鹰","46","提高幼师待遇才是王道","0"
"148","井每天跟猫打架有益于身残志坚井","46","？","0"
"149","monomoby","46","啥都一刀切，给民营资本一条出路","0"
"150","木先木","46","利国利民，不错不错不错！","2"
"151","开心幽点","47","范冰冰也是其中一员吗","0"
"152","简影画","47","范冰冰也是其中一员吗","0"
"153","凶残狂暴的小白兔","47","范冰冰也是其中一员吗","0"
"154","简影画","47","“万人次”....我还以为眼花了，这么多素质低下的人吗[摊手]","0"
"155","歪嘴叼斜烟","47","持续的工厂倒闭、老板跑路、外资撤离再不拿出一个切实可行的措施来，这个被限制的群体只会越来越大。","0"
"156","都江堰司法","47","我有一句“该背时”不知当不当讲","0"
"157","sdjnmxh","47","数字越大越反映社会不安全不稳定因素增大。","0"
"158","yypkzy","47","good","2"
"159","每个人都不容易","47","信用大于泰山，狠抓才行。。。","2"
"160","吃吃吃桔子喂ae","48","信用大于泰山，狠抓才行。。。","2"
"161","海之声助听器南昌旗舰店","48","唱的是真不错，棒棒哒","2"
"162","老蔡001","48","孩子唱得真好。","2"
"163","婷紫悠悠","48","好可爱。。。","2"
"164","_ACE_H","48","作业太少系列","0"
"165","虫入步静","48","优秀","2"
"166","文朗2011","48","不错","2"
"167","先生海狸","48","后边的大个是留级生么？？？？","0"
"168","风吹雾远","49","后边的大个是留级生么？？？？","0"
"169","星光耀夜空","49","泰州靖江人民法院办事效率实在差劲，2017年的执行款至今无法发还","0"
"170","一位不愿透露姓氏的孙先生","49","抖音还需要广告吗[吃瓜]","0"
"171","骑猫的蜘蛛侠","49","what？","0"
"172","庄劲雨","49","给抖音做广告？","0"
"173","暮色曙光baby","49","听起来不太合规的样子","0"
"174","是萧萧萧萧","53","听起来不太合规的样子","0"
"175","门前摊了麦子","53","听起来不太合规的样子","0"
"176","是萧萧萧萧","53","我感觉有点…emmm怕怕的[委屈]","0"
"177","王小丹_24701","53","觉得这个婚庆很怪异","0"
"178","沐沐微醺笨笨","53","新娘子脸也太圆了，要减肥啊","0"
"179","半滴水1644","53","满族人？","1"
"180","忧郁糯米糍","53","新娘这个妆容……","0"
"181","肉肉肉肉肉肉肉肉肉肉肉肉S","53","666","2"
"182","长簟_tlg","57","为嘛我看的还是白白的月?","1"
"183","丶坂本先生","57","薇薇安别闹了","2"
"184","知足者896658302","57","大，圆","2"
"185","君灵天下00","57","很遗憾,我这的天空是阴天,今天才放晴,影子都没看到","0"
"186","公共基础知识讲师赵敏航","57","过去血月起刀兵，没人提了哈","0"
"187","你是什么羊o_o","57","又看不着","0"
"188","袖猗","57","嗷～","2"
"189","正义肇庆","58","【48种常见网络诈骗手法来了，转发提醒！】","1"
"190","内江高新","58","转发微博","1"
"191","宝鸡市渭滨法院","58","转发微博","1"
"192","我就是胖着玩的","58","网络诈骗的手段越来越新颖，不法分子通过手机或者是电脑来进行诈骗，很多的人都是没有办法分辨出来的。那么我们提前的了解一些预防的知识或者是手段是很有必要的。","2"
"193","泛湾天域","58","48种常见网络诈骗手法来了，转发提醒！","1"
"194","蜈蚣_真人无名","58","还有冒充房东收放款、冒充子女违法被抓，","0"
"195","长岛县检察院","58","还有冒充房东收放款、冒充子女违法被抓，","0"
"196","12321举报中心","58","48种常见网络诈骗手法来了，转发提醒！","1"
"197","温江司法","59","早安啊，今天心情也要美美哒~[太阳]","2"
"198","伍医生57651","60","是这样的","2"
"199","lisu_34041","60","大唐天煞！","2"
"200","CHASTE_N","60","不准说没事 不是出于礼貌 我们一起收拾","2"
"201","VincentYan83","60","[二哈][二哈][二哈]晚安","2"
"202","青海政法","60","晚安[月亮]","2"
"203","接枪的水手长","60","见识了新发地派出所，我相信了世上有鬼。 ​​​","0"
"204","元旦飘飘茉莉","61","加油，加油。","2"
"205","静品人生枫林晚","61","祈祷平安[祈祷][祈祷][祈祷]","2"
"206","冰糖果粒橙","61","平安(ღ˘⌣˘ღ)，“雪龙” [祈祷][祈祷][祈祷]","2"
"207","雪洒江南","61","转发微博","1"
"208","清宁的鱼","61","比泰坦尼克号幸运，安全第一[鲜花][鲜花]","2"
"209","增好专利开发工厂店","61","保重","2"
"210","河南大石园林工程有限公司","66","转发微博","1"
"211","水蓝色颜表立的笛子","68","锦鲤？[允悲]","2"
"212","你怎么像只鬼","68","六千多斤，三万多元，五块钱一斤呗？","0"
"213","涟江闲散人","68","难怪现在的货车，经常刹车失效。","0"
"214","唐-糖-唐","68","赶紧抓起来放水里还能活很多吧","0"
"215","_Tohihi","68","难怪转发那么多锦鲤也中不了奖","0"
"216","jz慎独","68","说啥好呢？[允悲]","0"
"217","老管回来了","68","[doge]出门不看黄历","0"
"218","申磊爸爸","71","[doge]出门不看黄历","0"
"219","金钢般若波罗蜜","71","姓挺厉害[强]","2"
"220","朱义国律师","71","过年回不了家了。","0"
"221","你没那么忙","71","武威好穷的","0"
"222","北伦敦学徒","71","能不能枪毙几个贪官？？","0"
"223","张洋渣打银行楠仔","71","光荣又富贵。现在又火了","0"
"224","呵哟哈嘿","71","姓火的这次真火了","0"
"225","aijiahou1968","73","如果在美国，持刀伤害幼儿，估计该上五七坟了吧！","0"
"226","肉肉肉肉肉肉肉肉肉肉肉肉S","73","故意杀人罪，就是","0"
"227","强壮的杰克","75","哪国的都一样，向英雄致敬！","2"
"228","往城市边缘开i","75","但愿没有我国维和人员受伤","0"
"229","傅铉博xi","75","一路走好","0"
"230","布兰卡之夜","75","法国维和部队士兵嫖宿当地幼女和妇女，并且存在严重的性勒索导致当地民众武装反抗","0"
"231","trident729","75","哪个国家的？","1"
"232","齏靀","75","有没有我们的人？","1"
"233","暗箭加一","75","[伤心]","0"
"234","春天的水草","76","漂亮，一定很深","2"
"235","小马老了86","76","漂亮，一定很深","2"
"236","一大件好吃的烧腩","76","雷霆","2"
"237","仙儿橘","76","哇，好神奇","2"
"238","盤尼西林的譜阿莫西林的藥丶","76","定海神针不是在东海嘛？","1"
"239","PanKing","76","多深?","1"
"240","谨言11","76","想到了申公豹。[允悲][允悲][允悲][允悲]","2"
"241","大话西游无期限","76","南海龙王在此","2"
"242","梅花山总钻风","76","南海归墟","2"
"243","阿丸冲鸭","76","壮观[赞]","2"
"244","姚珊珊ANY","80","生育一个生命，是多么大的课题？！在自己没有能力，给予孩子好的生活和未来的前提下。凭什么要让孩子陪着自己受苦受罪呢？如果有出生可以选择，我们摸着良心说，愿意做富二代还是穷二代？所以，想知道孩子愿意不愿意降生在你们家，问问自己，如果你是孩子，你愿意选择你自己这样的人，做父母吗？[疑问]","0"
"245","雉尾翎","80","先使人不孕（巫盅核辐射），再扮演白衣天使。","0"
"246","小泷包JM","83","看哭了，为中国铁路默默无闻工作的人感动，点赞[赞][good][赞啊][给力]","2"
"247","小肥茵啊","83","好听，辛苦了[爱心]","2"
"248","卡笋的话","83","转发微博","1"
"249","头号交易官方微博","83","伟大的工作无所谓是否为人知，感谢这些安全的守护者","2"
"250","山雾云涧","84","实体经济都不行怎么增长的","0"
"251","山雾云涧","84","问题是17年又被你们调低了6千多亿","0"
"252","ts-ysl","84","央妈放水，虚报数据，该怎么信","0"
"253","皇土高坡一声吼","84","辛苦统计局了","2"
"254","石清子","84","辛苦统计局了","2"
"255","中华-石杉","84","辛苦统计局了","2"
"256","英德卫计","87","怎么可能只拿6分？14.1516题，作者的写作意图肯定明确的呀","0"
"257","读书顺道","87","现在的考试太令人无语了，主观题偏的没影！","0"
"258","你蠢的让我很为难","87","作者:我当时就是脑子一热，随便写了几句，啥也没想啊。。。","0"
"259","鼻子吹大泡","87","子非鱼，焉知鱼之乐[doge]","2"
"260","海蕴大王","87","作者：他说得好有道理，我竟哑口无言[doge]","0"
"261","mmmmmmn201606","87","作者内心：原来我是这样想的。[doge]","0"
"262","月中观灬","87","所以为什么不能出题人自己写文章，自己拿出评分标准呢[二哈]","0"
"263","香菜超难吃诶","87","高考作为一种选拔方式 语文阅读并没有一定要完全合乎作者 作者拿不到高分自然正常 他又不是要参加高考的考生 又没有经过这种考试答题模式训练","0"
"264","晓晓晓凤凤凤","87","那一抹诡异的光","0"
"265","老管回来了","87","[吃瓜]为什么你们能比作者还懂作者？","0"
"266","gogo海笙","89","[吃瓜]为什么你们能比作者还懂作者？","0"
"267","南通州司法","89","[给你小心心]","2"
"268","Q哥说事","89","[给你小心心]","2"
"269","有养","89","[给你小心心]","2"
"270","simply男","89","扬州江都新区派出所副所长，陈庆山，夏敏杰等人接受报案人李如春宴请吃喝，入住五星级酒店，非法立案，滥用职权，插手经济纠纷，对我采取强制措施，关押于江都看守所34天","0"
"271","温江司法","92","上午好，周一加油[太阳]","2"
"272","正义蕉岭","92","上午好，周一加油[太阳]","2"
"273","正直的Taylor","93","在海上见过红色的月亮  那种血红令人心慌","0"
"274","好好学习好好打球","93","在海上见过红色的月亮  那种血红令人心慌","0"
"275","HakkA_A这","93","越来越频繁的超级红月亮？[费解]","0"
"276","条纹被套里的爱","93","又超级月亮？？？？","0"
"277","顾轩屹","93","自己看[doge]","0"
"278","Annie0320_Yan","93","也可能那一天下雨！","1"
"279","极速大猫猫","94","房屋地址好像没有房产证似的。房产证好像没有房主个人信息似的。早晚交税，不交就算偷税漏税。跟谁两玩心眼呢，等着房租暴涨吧。","0"
"280","你不知道我在想啥","94","缓解矛盾和压力，回应社会关切，值得表扬！但是由此造成的租房真实性无法得到校验、变相认可房东逃税的实际效果，值得商榷！税收政策应该使该交税的“应交尽交”，至于税率高低那是另外一件事。公平的制度设计，应该让应纳税的“不能逃”“不敢逃““不想逃”，让不应纳税的享受制度红利。","0"
"281","九曲黄河一壶装","94","不就过往！","0"
"282","九曲黄河一壶装","94","不追究原罪了！","0"
"283","网联清算有限公司","94","应该填写防逃税","0"
"284","又酷还能吃的项小茶","94","刚刚去改了","0"
"285","务川司法","94","个人所得税APP更新，房屋出租人信息不用填了","1"
"286","务川司法","94","1月20日个人所得税APP更新，看过了","1"
"287","72岁老人被殴打虐待","94","1月20日个人所得税APP更新，看过了","1"
"288","冰熊由希","96","转发微博","1"
"289","1314LSM","96","。","1"
"290","海底的旱灾","96","。","1"
"291","雪洒江南","96","转发微博","1"
"292","搜文库","96","哈尔滨","1"
"293","神州八号99","96","我国每年心源性猝死者高达55万人！看了这个能救命!","2"
"294","彬彬小旭","97","留给我们的时间不多了 真的不多了[允悲][允悲][允悲]","0"
"295","恬静的喵喵","97","世界不是一两个人转转微博就能变好的～","0"
"296","黯然之蓝","97","配乐不太合适。","0"
"297","予你7","97","敬畏自然，生态环境保护是我们每个人的责任，守护自然就是保护我们自己的家","2"
"298","中国结很纯","97","[赞]","2"
"299","神州八号99","97","敬畏生命，关爱自然，一起守护我们共同的家。支持请转！​","2"
"300","美丽心灵6647350638","97","[心][心]","2"
"301","Q哥说事","97","[心][心]","2"
"302","元旦飘飘茉莉","103","[浪]","2"
"303","云742701993","103","这哥们说你啥好呢？","0"
"304","莲子20151019","103","什么面膜这么贵？","0"
"305","瑟瑟鲨鱼","103","采访采访他啊！哥们，你咋想的?","0"
"306","不浪费笔墨","103","这是亲自送上门来了[doge]","0"
"307","星际电力发展","103","[允悲] 严肃处理","0"
"308","遇见35925201608","103","艾玛，过年了，这大哥去送礼了[哈哈]","2"
"309","陇原何处有正义","103","甘肃首例汽车《消费欺诈退一赔三》案件，一审与重审为兰州安宁区法院，重审判我败诉！证据多么充分，里程前后不一。两大灯一洗车就不亮！兰州金阜康拿用过的旧车当新车卖给我，法官却说，有些法守不得，不要为难企业！法官受到何种压力发表反党言论并错误判决？全程有录音 ​​​​","0"
"310","四虎专员","103","富贵险中求","2"
"311","牧风家的布吉岛","105","我的眼睛说:我会了[挤眼] 我的手说:不，你不会[允悲]","2"
"312","游离在城市边沿","105","厉害了，这么不清真[二哈]","2"
"313","Damder","105","[心]","2"
"314","Damder","105","好厉害，有创意[心][心][心][泪]","2"
"315","无处安放的提醒","112","江山人才辈出","2"
"316","蠢羊呆呆向前","114","江山人才辈出","2"
"317","觞音","114","江山人才辈出","2"
"318","谢开jackkkk","114","江山人才辈出","2"
"319","冰蚕破茧","114","江山人才辈出","2"
"320","为民私人调查私家侦探戴朋俊","114","心情不好的治愈系","2"
"321","木木木木木昜Y","114","图八：发生了什么","1"
"322","传说中的女网警","114","图八：发生了什么","1"
"323","正乂丰目","114","法制狗粉报","0"
"324","神性细胞2018","114","把情绪与希望，寄托在狗身上，您也真是颓废的可以，建议合理职业～～肉狗饲养员。。。","0"
"325","小闷胖子","114","图五：“铲屎的，准备好装修的钱吧”[二哈]","0"
"326","William-ChenWilliam-Chen","115","感谢伟大的祖国！","2"
"327","魏笑潼","115","基于大量廉价劳动力的改变，那么十年之后呢？","0"
"328","Marcur_88","115","有没有十年前后的工资涨幅和房价涨幅对比[摊手]","0"
"329","Island孤岛之岛","115","那个运快递的小车车好可爱鸭","2"
"330","远红外线碱性负离子活化能","115","没有看病难，教育难，堵车难，差评[哈哈]","0"
"331","靖56215","115","共享经济","1"
"332","贫苦农民代言人","115","马云：我对钱没有兴趣 我从来没碰过钱","0"
"333","我还想再换一个名字","116","马云：我对钱没有兴趣 我从来没碰过钱","0"
"334","厉而不魔魔","116","马云：我对钱没有兴趣 我从来没碰过钱","0"
"335","厉而不魔魔","116","马云：我对钱没有兴趣 我从来没碰过钱","0"
"336","侯阿浪","116","大学生的这个书写也是………","0"
"337","Mouhaiyin","116","需要拍马屁吗？","0"
"338","砥砺前行风","116","法制日报：能向您反应问题吗？老百姓的","0"
"339","长的帅死得快80525","119","卧槽可怕","0"
"340","静静的奔跑---","119","[惊恐]","0"
"341","追梦马拉卡纳","119","给每一个被查获的酒驾者看一下。","0"
"342","李逍遥0210","119","触目惊心，时刻警醒，永不酒驾","0"
"343","whsld","119","触目惊心，时刻警醒，永不酒驾","0"
"344","方小火火火","119","图5真是自己找死害了别人啊！！！","0"
"345","花甜味","120","2018年1月29日实名举报南阳市以陈运昌为首的黑恶势力犯罪团伙 ，和对我长达6年的迫害，遭到其组织30名黑社会人员到我家打击报复，挑衅蹲点监视、跟踪辱骂已经一年了，我们没办法正常生活，报警近20次，仲景派出所始终不予出警处理，南阳市公安局副局长郝一克亲自指示压着不予查办，市纪委信访材料被压","0"
"346","天王祺祺","120","悬赏100万督办案件，加追回金额15%奖励。湖北省公安厅副厅长尚武 武汉市公安局长李义龙 武汉市公安局经侦局民警余昌利是湖北省黑社 会最大的保护伞","0"
"347","被福建警察虐待的农民工","120","​​​福建某某几个地方警察办案厉害，有犯罪的当做国宝保护起来，普通百姓没有犯罪想办法让他犯罪，那些警察办案像小儿科玩游戏黑白不分胡作非为，虐待农民官官相护，保护伞☂️靠山强硬。上包神仙，下包饿鬼，腐败分子跟黑恶势力有一腿，办腐败案件才有钱捞，官才会升级，","0"
